"Дата, время начала",Районы,подтвержденные (прогноз оправдался),"НЯ, ОЯ, КНЯ",Тип явления,Критерий,Характеристика,Последствия
2021-05-14 10:00:00,,,НЯ,Метеорологическое,,"днем 14.05 местами по краю гроза, порывы ветра 15-20 м/с",
2021-05-14 20:00:00,, +,ОЯ,Метеорологическое,,с 15 по 19 мая по Пермскому краю сохранится аномально жаркая погода со среднесуточной температурой воздуха на 7 гр. и более выше климатической нормы. Высокая пожарная опсность (4 класс).,
2021-05-14 20:00:00,, +,НЯ,Метеорологическое,,"днем 15.05. ожидается гроза, при грозе порывы ветра 15-20 м/с",
2021-05-16 00:00:00,, +,НЯ,КНЯ,,"гроза, порывы ветра 15-20 м/с",
2021-05-16 20:00:00,,,НЯ,Метеорологическое,,,
2021-05-20 00:00:00,, +,ОЯ,Метеорологическое,,"Аномально жаркая погода, класс пожарной опасности 4-5",
2021-05-21 08:00:00,Местами по краю,,НЯ,КНЯ, Очень сильный ветер,порывы ветра при грозе 15-20 м/с,
2021-05-21 20:00:00,,,НЯ,Метеорологическое,,"гроза, местами порывы ветра 15-20 м/с",
2021-05-21 20:40:00,, +,ОЯ,Метеорологическое,,В ближайшие 1-3 часа с сохранением вечером 21 мая местами по краю ожидается крупный град,
2021-05-23 08:00:00,,,НЯ,Метеорологическое,,порывы ветра 15-20 м/с,
2021-05-23 20:00:00,, +,НЯ,Метеорологическое,,"Местами по пермскому краю грозы, при грьозе порывы ветра 17-22 м/с",
2021-05-24 14:00:00,,,ОЯ,Метеорологическое,,,
2021-05-24 00:00:00,, +,ОЯ,Метеорологическое,,по югу 5 класс,
2021-05-26 10:00:00,, +,ОЯ,Метеорологическое,,"С 26 по 30 мая местами по краю сохранится высокая пожарная опасность 4 класс, по югу чрезвычайная пожарная опасность 5 класс",
2021-05-28 00:00:00,,,ОЯ,Агрометеорологическое,,"ночью 28 мая местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0, -2°.",
2021-05-29 00:00:00,,,НЯ,Метеорологическое,,по югу порывы ветра при грозе 15-20 м/с,
2021-05-29 20:00:00,,,НЯ,Метеорологическое,,"Днем местами по краю грозы, при грозе порывы ветра 15-20 м/с",
2021-05-31 00:00:00,, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,31.05 местами по югу Пермскому краю сохранится чрезвычайная пожарная опасность (5 класс).,
2021-05-31 00:00:00,Местами по краю, +,ОЯ,Метеорологическое,,"Ночью 31.05 и 01.06 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-2°",
2021-06-01 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,01-07.06 местами по югу Пермскому краю сохранится чрезвычайная пожарная опасность (5 класс).,
2021-06-08 20:00:00,, +,ОЯ,Метеорологическое,,"08-11.06 местами в Пермском крае сохранится высокая пожарная опасность            (4 класс), в отдельных районах по югу чрезвычайная пожарная опасность (5 класс).",
2021-06-08 20:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"ночью 09 июня по северу и востоку Пермского края ожидаются заморозки в воздухе и на поверхности почвы 0, -2",
2021-06-12 12:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,, с 12 по 15 июня местами по ПК сохранится высокая ПО - 4 КПО,
2021-06-14 15:00:00,,,НЯ,Метеорологическое,,порывы ветра при грозе до 20 м/с,
2021-06-14 20:00:00,,,НЯ,Метеорологическое,,"гроза, при грозе порывы ветра 15-20 м/с",
2021-06-16 20:00:00,, +,ОЯ,Метеорологическое,,"С 16 по 18,06 местами по Пермскому краю сохранится высокая пожарная опасность (4 класс)",
2021-06-16 20:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"Вечером 16 и ночью 17 июня местами в Пермском крае ожидаются сильный дождь, очень сильный дождь, сильный ливень, гроза, крупный град, шквалистое усиление ветра 20-25 м/с.",Аварийные отключения э/энергии в 5 МО
2021-06-19 20:00:00,, +,ОЯ,Метеорологическое,,19-21.06 местами по краю высокая и чрезвычайная пожарная опасность (4-5 класс),
2021-06-19 20:00:00,,,НЯ,Метеорологическое,,Днем в отдельных районах края порывы ветра 15-20 м/с,
2021-06-21 12:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный ветер,Местами по краю 4 КПО,
2021-06-21 00:00:00,,,НЯ,Метеорологическое,,при грозе порывы 15-20 м/с,
2020-06-22 00:00:00,, +,НЯ,Метеорологическое,,4 класс,
2021-06-23 20:00:00,, +,НЯ,Метеорологическое,,"24.06.2021 туман, гроза. при грозе порывы ветра 15-20 м/с",
2021-06-25 22:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"ночью 25.06  сильные дожди, местами по востоку очень сильные дожди, сильные ливни, грозы, крупный град.",
2021-06-25 19:00:00,, +,ОЯ,Метеорологическое,,,
2021-06-25 20:00:00,, +,НЯ,Метеорологическое,,ночью 26.06.2021 при грозе порывы ветра 15-20 м/с,
2021-06-25 00:00:00,, +,ОЯ,Метеорологическое,,по данным МСВая очень сильный дождь 30 мм,
2021-06-27 20:00:00,,,НЯ,Метеорологическое,,при грозе порывы ветра 15-20 м/с,
2021-06-28 12:00:00,Местами по краю, +,ОЯ,Метеорологическое, Аномально жаркая погода,С 28.06 по 02.07 в большинстве районов края и в перми ожидается аномально  жаркая погода со среднесуточной  температурой воздуха выше климатической нормы на 7 и более градусов.,
2021-06-29 07:00:00,"Александровский МР, ГО г. Березники (район), Чердынский МР, Красновишерский МР, Кизеловский МР, Гайнский МР, ГО г. Березники, ГО г. Александровск, ГО г. Кизел, ГО г. Красновишерск, ГО г. Чердынь", +,НЯ,Метеорологическое,,Днем ожидаются порывы ветра при грозе 15-20 м/с,
2021-06-29 00:00:00,, +,ОЯ,Метеорологическое,,36 градусов местами по югу края,
2021-07-01 20:00:00,Местами по краю, +,ОЯ,Метеорологическое," Шквал , Очень сильный дождь , Сильный ливень , Крупный град","  вечеро 01 и в течении суток 02 июля местами по Пермскому краю ожидаются гроза, сильный дождь, очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра  22-27 м/с.",
2021-07-03 00:01:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Шквал , Очень сильный дождь , Сильный ливень , Крупный град","местами по Пермскому краю ожидаются гроза, сильный дождь, очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра  22-27 м/с.",
2021-07-03 20:00:00,,,ОЯ,Метеорологическое,,,
2021-07-03 20:00:00,, +,НЯ,Метеорологическое,,4 класс,
2021-07-05 20:00:00,,,НЯ,Гидрологическое, Паводок,"05-07 июля в отдельных реках бассейна Верхней Камы, Вишеры, в реках Яйве, Косьве, Чусовой и их многочисленных притоках, в отдельных малых реках юга края ожидается формирование дождевых паводков. Возможно переполнение и прорывы прудов с неисправными ГТС",
2021-07-14 12:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,14-17 июля местами по краю ожидается высокая пожарная опасность 4 КПО,
2021-07-16 13:00:00,, +,ОЯ,Метеорологическое,,"в ближайшие 1-3 часа с сохранением вечером 16.07 и в первой половине ночи 17.07.2021 ожидается очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 20-25 м/с",нет. в Верещагинском ГО 33 мм за час
2021-07-17 22:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,"ночью местами, днем повсеместно кратковременный дождь, гроза, при грозе порывы 15-20 м/с.",
2021-07-18 12:00:00,ВСЕ муниципальные образования,,ОЯ,Метеорологическое,,с 18 по 20 июля местами по краю высокая пожарная опасность,
2021-07-18 20:00:00,, +,НЯ,Метеорологическое,,порывы ветра при грозе 15-20 м/с,
2021-07-21 00:00:00,, +,НЯ,Метеорологическое,,"ночью 21.07 местами сильный дождь. Гроза, при грозе порывы ветра 15-20 м/с. Ночью и утром туман",
2021-07-21 00:00:00,, +,ОЯ,Метеорологическое,,21-23.07.2021 местами по краю 4 КПО,
2021-07-21 13:20:00,"Александровский МР, Лысьва (район) МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, ГО г. Александровск, ГО г. Гремячинск, ГО г. Губаха, ГО г. Кизел, ГО г. Лысьва, ГО г. Горнозаводск, ГО г. Красновишерск", +,ОЯ,Метеорологическое,,В ближайшие 1-3 часа 21 июля местами по востоку ПК ожидается очень сильный дождь,
2021-07-22 07:00:00,Местами по краю,,НЯ,Метеорологическое,,"Местами по краю ливни, грозы, порывы ветра при грозе 15-20 м/с",
2021-07-22 14:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"во второй половине дня 22 июля и ночью 23 июля местами по Пермскому краю ожидается сильный дождь, очень сильный дождь, сильный ливень, гроза, усиление западного ветра 15-20 м/с.",
2021-07-29 20:00:00,,,НЯ,Метеорологическое,,"Местами по Пермскому краю сильный дождь, гроза, при грозе порывы ветра 15-20 м/с, ночью и утром туман.",
2021-08-03 13:00:00,,,ОЯ,Метеорологическое,,"3-4 августа в Пермском крае ожидается жара 30-35оС, местами по югу сильная жара 36оС.",
2021-08-04 17:00:00,, +,ОЯ,Метеорологическое,,,
2021-08-05 12:00:00,Частинский МР, +,ОЯ,Метеорологическое,,с 5 по 9 августа 2021 года местами по краю ожидается 4 КПО,
2021-08-10 12:00:00,"Лысьва (район) МР, Кунгурский МР, Березовский МР, Ординский МР, Суксунский МР, Кишертский МР, Уинский МР, Чайковский МР, Чернушинский МР, Октябрьский МР, Бардымский МР, Еловский МР, Частинский МР, Большесосновский МР, ГО г. Кунгур, ГО г. Лысьва, ГО г. Ча",,ОЯ,Метеорологическое,,с 10 по 15 августа местами по краю ожидается 4 КПО,
2021-08-16 00:00:00,, +,ОЯ,Метеорологическое,,с 16 по 20 августа местами по югу  аномально жаркая погода со среднесуточной температурой воздуха на 7оС выше климатической нормы.,
2021-08-16 00:00:00,"Уинский МР, Куединский МР, Чернушинский МР, Октябрьский МР, Бардымский МР, Еловский МР, Частинский МР, Верещагинский МР, Сивинский МР, Карагайский МР, ГО г. Чайковский", +,ОЯ,КНЯ,,С 16 по 20 августа местами Пермскому краю сохранится высокая пожарная опасность (4 класс).,
2021-08-19 12:00:00,, +,ОЯ,Метеорологическое,,с19 по 22 авг уста местами по Пермкому краю сильная жара 36-38?,
2021-08-20 08:00:00,, +,ОЯ,Метеорологическое,,"С 20 по 23 августа по территории края Пермскому краю сохранится высокая пожарная опасность (4 класс), местами по югу ожидается чрезвычайная пожарная опасность (5 класс).",
2021-08-21 17:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Шквал , Очень сильный дождь , Сильный ливень","Во второй половине дня и вечером 21.08, в течение суток 22.08 и 23.08 местами по ПК ожидается гроза, сильный дождь, сильный ливень, крупный град, усиление южного ветра порывы 15-20 м/с, шквал 23-28 м/с",
2021-08-23 00:00:00,, +,ОЯ,Метеорологическое,,Днем 23.08.2021 местами по югу Пермского края сохранится сильная жара 36-38,
2021-08-22 20:00:00,,,ОЯ,Метеорологическое,,"23.08 местами по Пермскому краю сильный дождь, сильный ливень. гроза, крупный град, гроза. при грозе порывы 15-20 м/с, шквал 23-28 м/с",
2021-08-24 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Аномально жаркая погода,24-25 августа в крае сохранится аномально жаркая погода со среднесуточной температурой воздуха на 7 оС  выше климатической нормы.,
2021-08-24 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,"24-25 августа по территории края Пермскому краю сохранится высокая пожарная опасность (4 класс), местами по югу ожидается чрезвычайная пожарная опасность (5 класс).",
2021-08-23 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","в отдельных южных и центральных районах сильный дождь гроза, при грозе  ветра порывы 15-20 м/с.",
2021-08-26 00:00:00,,,ОЯ,Метеорологическое,,"26-31 августа местами по краю сохранится высокая пожарная опасность 4 класс, по югу чрезвычайная пожарная опасность 5 класс",
2021-08-25 20:00:00,, +,НЯ,Метеорологическое,,"вечером 25 августа, ночью 26 августа местами по северу сильный дождь, грозы, при грозе порывы ветра 17-22 м/с",
2021-08-28 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,Ночью 28-30.08 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -2?.,
2021-08-30 20:00:00,Местами по краю, +,ОЯ,Агрометеорологическое,,Ночью 31 августа-01 сентября местами по Пермскому краю сохранятся в воздухе и на поверхности почвы до -2,
2021-08-31 20:00:00,, +,ОЯ,Метеорологическое,,"01-03.09 местами сохранится высокая (4 класс), по югу чрезвычайная пожарная опасность (5 класс).",
2021-09-03 20:00:00,, +,ОЯ,Метеорологическое,,"во второй половине дня3 сентября, в течение суток 4 сентября и ночью 5 сентября местами по Пермскому краю ожидаются сильные дожди, по северу и востоку в отдельных районах очень сильные дожди, усиление ветра порывы 18-23 м/с",
2021-09-07 20:00:00,, +,ОЯ,Агрометеорологическое,,ночью 08.09 местами по Пермскому краю сохранятся заморозки в воздухе и на поверхности почвы до -2.,
2021-09-15 15:00:00,,,ОЯ,Метеорологическое,,во второй половине дня 15.09 и в течении суток 16.09 местами по востоку Пермского края ожидается очень сильный дождь.,
2021-09-18 20:00:00,, +,ОЯ,Агрометеорологическое,,"Ночью 19-23 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -2, -4.",
2021-09-28 04:00:00,, +,ОЯ,Агрометеорологическое,,Ночью 28-30.09 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -5…-2°.,
2021-10-21 16:00:00,, +,ОЯ,Метеорологическое,,"Вечером 21.10 местами по западу, ночью и утром 22.10 местами по северу и востоку Пермского края ожидается очень сильный снег, мокрый снег, сильное отложение мокрого снега, сильный гололед.",
2021-12-02 00:00:00,Местами по краю, +,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,Сильные ГИО,
2021-12-18 20:00:00,"Чернушинский МР, Октябрьский МР",,НЯ,Метеорологическое,,сильный снег до 6 мм,
2022-01-01 20:00:00,, +,НЯ,Метеорологическое,,В отдельных районах гололедно-изморозевые отложения,
2022-01-02 20:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое,,"в отдельных районах прогнозируются гололедно-изморозевые отложения, ночью по востоку сильный снег.",
2022-01-05 20:00:00,, +,НЯ,КНЯ,,В отдельных районах гололедно-изморозевые отложения,
2022-01-06 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный снег , Сильное гололедно-изморозевое отложение на проводах","в отдельных районах прогнозируются гололедно-изморозевые отложения, местами сильный снег.",
2022-01-07 20:00:00,, +,НЯ,Метеорологическое,,по югу сильный снег,
2022-01-09 20:00:00,, +,НЯ,Метеорологическое,,В отдельных районах гололедно-изморозевые отложения,
2022-01-10 20:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое,,"в отдельных районах прогнозируются гололедно-изморозевые отложения, ночью в отдельных центральных районах снег до сильного.",
2022-01-13 20:00:00,ВСЕ муниципальные образования, +,КНЯ,КНЯ,,"местами сильный снег, в отдельных районах метель, гололедно-изморозевые отложения, порывы ветра до 19 м/с.",
2022-01-14 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный снег , Сильное гололедно-изморозевое отложение на проводах","днем по югу в отдельных районах снег до сильного, местами гололедно-изморозевые отложения.",
2022-01-15 20:00:00,, +,НЯ,КНЯ,,,
2022-01-17 20:00:00,, +,НЯ,КНЯ,,в отдельных районах гололедно-изморозевые отложения,
2022-01-21 20:00:00,Местами по краю, +,НЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,В отдельных районах гололедно-изморозевые отложения,
2022-02-02 20:00:00,,,НЯ,Метеорологическое,,"Небольшой снег, по югу до сильного, в отдельных районах гололедно-изморозевые отложения",
2022-02-04 20:00:00,, +,НЯ,Метеорологическое,,"сильный снег, налипание, туман",
2022-02-22 20:00:00,,,НЯ,Метеорологическое,,"ночью ожидается снег, мокрый снег, местами сильный, днем небольшой, месатми умеренный, по югу и востоку до сильного",
2022-02-26 20:00:00,,,НЯ,Метеорологическое,,"умеренный снег, мокрый снег, на дорогах гололедица, туман, налипание мокрого снега",
2022-03-06 00:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"06 марта местами по северу, 07-11 марта по всей территории Пермского края ожидается аномально холодная погода со среднесуточной температурой воздуха на 7 градусов и более ниже климатической нормы. 08 -10 марта в горах и низинах ожидается мороз     -32…-3",
2022-03-05 20:00:00,,,НЯ,Метеорологическое,,"ночью по югу и востоку в отдельных районах сильный снег, местами метель. Ночью и утром в отдельных районах порывы ветра до 18 м/с.",
2022-03-10 00:00:00,"Красновишерский МР, ГО г. Красновишерск", +,ОЯ,Метеорологическое,,Ночью 10 марта местами по северо-востоку Пермского края  ожидается сильный мороз -42…     -40° С°.,
2022-03-12 00:00:00,, +,ОЯ,Метеорологическое,,12-14.03 в Пермском крае сохранится аномально холодная погода со среднесуточной температурой воздуха на 7° и более ниже климатической нормы.,
2022-03-22 20:00:00,,,НЯ,КНЯ,,"Местами по краю порывы ветра до 17 м/с, на дорогах гололедица",
2022-03-25 20:00:00,, +,НЯ,Метеорологическое,,днем местами порывы ветра 15-20 м/с,
2022-03-26 20:00:00,, +,НЯ,КНЯ,,Местами по краю порывы ветра до 18 м/с,
2022-03-27 20:00:00,, +,НЯ,КНЯ,,местами по краю порывы веьра 18 м/с,
2022-04-28 22:00:00,,,ОЯ,Агрометеорологическое,,Ночью 29.04 и 30.04 ожидаются заморозки в воздухе и на поверхности почвы ?8…?2°.,
2022-05-05 00:00:00,, +,ОЯ,Агрометеорологическое,,"Заморозки в воздухе и на поверхности почвы 0, -5",
2022-05-08 03:00:00,,,ОЯ,Агрометеорологическое,,заморозки до -3,
2022-05-13 00:00:00,,,ОЯ,Агрометеорологическое,,заморозки в воздухе и на поверхности почвы до -2,
2022-05-18 23:00:00,,,ОЯ,Агрометеорологическое,,местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -2…0°.,
2022-05-22 00:00:00,, +,ОЯ,Агрометеорологическое,,Ночью 22-24.05 местами по краю ожидаются заморозки в воздухе и на поверхности почвы до -3.,
2022-05-25 00:00:00,,,НЯ,Метеорологическое,,"сильный дождь, гроза, порывы ветра 15-20 мс",
2022-05-25 20:00:00,,,НЯ,Метеорологическое,,"Ночью местами по краю ожидается сильный дождь, ночью и утром в отдельных районах туман",
2022-06-06 20:00:00,,,НЯ,Метеорологическое,,"ночью туман, днем местами сильный дождь, гроза, порывы ветра 15-20 м/с",
2022-06-07 00:00:00,, +,ОЯ,Метеорологическое,,"07-08.06.2022 очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 20-25 м/с",
2022-06-10 20:00:00,,,НЯ,Метеорологическое,,"ночью в отдельных районах туман, днем местами грозы, порывы ветра до 17 м/с",
2022-06-15 20:00:00,,,НЯ,Метеорологическое,,при грозе порывы ветра до 20 м/с,
2022-06-16 20:00:00,,,НЯ,Метеорологическое,,"сильный дождь, гроза",
2022-06-20 20:00:00,,,НЯ,Метеорологическое,,"ночью и днем 21.06.2022 сильные дожди, в отдельных районах туман, днем гроза, порывы ветра до 17 м/с.",
2022-06-21 10:00:00,,,ОЯ,Метеорологическое,,"днем 21 июня местами по краю очень сильный дождь, сильный ливень",
2022-06-27 08:00:00,,,НЯ,Метеорологическое,,Днем порывы ветра 15-20 м/с,
2022-07-08 20:00:00,,,НЯ,Метеорологическое,,"местами грозы, град, порывы ветра 17-22 м/с",
2022-07-10 20:00:00,,,ОЯ,Метеорологическое,,с 10 по 12 июля местами по территории Пермского края и в Перми высокая пожарная опасность (4 класс),
2022-07-09 20:00:00,Местами по краю,,НЯ,КНЯ, Очень сильный ветер,"местами грозы, сильный дождь, град, порывы ветра 17-22 м/с",
2022-07-13 08:00:00,, +,ОЯ,Метеорологическое,,С 13 по 15 июля местами по территории Пермского края и в Перми сохранится высокая пожарная опсность (4 класс),
2022-07-12 20:00:00,Местами по краю, +,ОЯ,Метеорологическое,,"в ближайшие 1-3 часа, ночью и днем 13.07 местами по Пермскому краю ожидается очень сильный дождь, сильный ливень. крупный град, шквалистое усиление ветра 22-27 м/с",
2022-07-13 20:00:00,,,НЯ,Метеорологическое,,"грозы, порывы ветра пригрозе 16-21 м/с",
2022-07-14 15:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"вечером 14.07 с сохранением в первой половине ночи 15.07 местами по Пермскому краю ожидался очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 20-25 м/с.","Небольшие отключения электроэнергии в Гайнском, Кочевском, Карагайском, Пермском МО"
2022-07-16 00:00:00,, +,ОЯ,Метеорологическое,,16-17.07 местами по краю сохранится высокая пожарная опасность 4 класс,
2022-07-15 20:00:00,, +,ОЯ,Метеорологическое,,"во второй половине дня 15.07 и в течение суток 16.07 местами по Пермскому краю ожидается очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 22-27 м/с.",
2022-07-18 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,местами по территории Пермского края сохранится высокая пожарная опасность (4 класс),
2022-07-23 14:00:00,, +,ОЯ,Метеорологическое,,С 23 по 27 июля местами по краю сохранится 4 КПО,
2022-07-24 20:00:00,, +,ОЯ,Метеорологическое,,"В ближайшие 1-3 часа 24.07 и в первой половине ночи 25.07 местами по краюожидается очень сильный дождь, сильный ливень, крупный град, шквалистый ветер 22-27 м/с",
2022-07-25 15:00:00,, +,ОЯ,Метеорологическое,,"Во второй половине дня и вечером 25.07 местами по краю ожидается гроза, сильный дождь, очень сильный дождь, сильный ливень, крупный град, усиление ЮЗ, З ветра 17-22 м/с, локально шквалистое усиление ветра до 27 м/с",
2022-07-26 10:00:00,, +,ОЯ,Метеорологическое,,"В ближайшие 1-3 часа и в течение 26.07 очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра до  25 м/с",
2022-07-28 14:00:00,, +,ОЯ,Метеорологическое,,С 28.07 по 01.08 местами по краю и в Перми сохранится 4 КПО,
2022-07-31 14:00:00,,,ОЯ,Метеорологическое,,с 31.07 по 01.08 местами по краю ожидается 5 КПО,
2022-08-02 10:00:00,, +,ОЯ,КНЯ,,"со 2 по 4 августа местами по территории Пермского края сохранится высокая пожарная опасность (4 класс), в Перми чрезвычайная пожарная опасность (5 класс).",
2022-08-05 10:00:00,, +,ОЯ,Метеорологическое,,"05-06 августа местами, 07-09 августа в большинстве районов Пермского края ожидается высокая пожарная опасность (4 класс), 05-09 августа в отдельных центральных районах чрезвычайная пожарная опасность (5 класс).",
2022-08-10 10:00:00,, +,ОЯ,Метеорологическое,,"10-11 августа в большинстве районов Пермского края сохранится высокая пожарная опасность (4 класс), в отдельных центральных районах чрезвычайная пожарная опасность (5 класс).",
2022-08-09 16:30:00,, +,ОЯ,Метеорологическое,,"в ближайшие 1-3 часа, до конца дня 09 августа,  в течение суток 10 августа местами по краю ожидается очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 21-26 м/с.",
2022-08-11 00:00:00,, +,ОЯ,Метеорологическое,,"ночью и утром 11 августа местами по краю сохранится очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 20-25 м/с.",
2022-08-12 10:00:00,, +,ОЯ,Метеорологическое,,12-15 августа местами по Пермскому краю ожидается высокая пожарная опасность (4 класс).,
2022-08-16 10:00:00,, +,ОЯ,Метеорологическое,,16-19 августа местами по Пермскому краю ожидается высокая пожарная опасность (4 класс).,
2022-08-17 00:00:00,, +,ОЯ,Агрометеорологическое,,В ночные часы 17-19 августа местами по северу и востоку Пермского края ожидаются заморозки в воздухе и на поверхности почвы до -2°.,
2022-08-20 10:00:00,, +,ОЯ,Метеорологическое,,20-23 августа местами по Пермскому краю сохранится высокая пожарная опасность (4 класс).,
2022-08-22 10:00:00,, +,ОЯ,Агрометеорологическое,,"22-26 августа в большинстве районов Пермского края ожидается аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7° и более, местами по югу (4% территории Пермского края) сохраняется опасное агрометеорологическое яв",
2022-08-24 10:00:00,, +,ОЯ,Метеорологическое,,"24-29 августа повсеместно в Пермском крае сохранится высокая пожарная опасность (4 класс), местами по краю чрезвычайная пожарная опасность (5 класс).",
2022-08-26 20:00:00,, +,НЯ,Метеорологическое,,"26 августа ночью туман, утром и днем местами кратковременный дождь, гроза, при грозе порывы до 15-18 м/с.",
2022-08-28 18:10:00,, +,ОЯ,Метеорологическое,,"в ближайшие 1-3 часа 28 августа и в первой половине ночи 29 августа местами по краю ожидается крупный град, сильный ливень, очень сильный дождь, шквалистое усиление ветра 20-25 м/с.",
2022-08-30 10:00:00,, +,ОЯ,Метеорологическое,,"30 августа-01 сентября в большинстве районов сохранится высокая пожарная опасность (4 класс), местами по краю чрезвычайная пожарная опасность (5 класс).",
2022-08-30 20:00:00,, +,НЯ,Метеорологическое,,"30 августа утром и днем ожидаются дожди, по северу в отдельных районах сильные, грозы, ночью местами туман.",
2022-09-02 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,"2 сентября местами по югу края сохранится высокая пожарная опасность (4 класс), местами по краю чрезвычайная пожарная опасность (5 класс).",
2022-09-02 00:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман","утром и днем местами сильные дожди, грозы, порывы ветра до 17 м/с. Ночью и утром в отдельных районах туман.",
2022-09-02 13:35:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман",в ближайшие 1-3 часа и до конца дня 02 сентября местами по Пермскому краю ожидается очень сильный дождь.,
2022-09-03 08:00:00,Местами по краю, +,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,03-04 сентября местами по югу края сохранится высокая пожарная опасность (4 класс).,
2022-09-04 23:00:00,Местами по краю,,ОЯ,Агрометеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман",в ночные часы 05-07 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -2°.,
2022-09-05 08:00:00,Местами по краю, +,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман",05-09 сентября местами по югу Пермского края ожидается чрезвычайная пожарная опасность (5 класс).,
2022-09-05 23:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,в ночные часы 06-07 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -2°.,
2022-09-09 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман",в ночные часы 09-10 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -1…-3°.,
2022-09-13 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман",в ночные часы 13-14 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -1…-3°.,
2022-09-18 00:00:00,,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный туман",18 сентября  ночью по востоку в отдельных районах сильный дождь.,
2022-09-24 20:00:00,,,НЯ,Метеорологическое,,"Ночью порывы до 15 м/с, днем повсеместно  порывы 15-20 м/с",
2022-09-26 21:00:00,,,ОЯ,Метеорологическое,,"местами по Пермскому краю ожидаются сильные, очень сильные осадки (дождь, утром и днем переходящий в мокрый снег), установление временного снежного покрова, налипание мокрого снега на проводах, гололед, усиление восточного ветра 15-20 м/с.",
2022-09-26 21:00:00,,,ОЯ,Агрометеорологическое,,Ночью 26 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы  -1…-4,
